block_id, block_hash, timestamp, difficulty, transaction_hash, timestamp, sender, receiver, amount, tax
4728069, 0x695bab79e49205a4625ea985373bc36cea60334b9953a245d436b7f11663fb8e, 2017-12-14 06:51:19, 1625697976987483, 0x78c6f4c018767eaa40913947570a0371ae686eea225c060ca6a078bee75b3c81, 2017-12-13 23:28:24, 0xcfcff4b92d6d99ed40ae3bd82eb4b708af262be4, CryptoKitties: Core, 0, 0.00124977
4728076, 0xd2646893a11e1be4a48900402e260635d18749cffcce0b566170e2eb63dbed26, 2017-12-14 06:51:19, 1622522013690561, 0xa4dfde5d57d006aedb81211e40ff12efdafbc007ec417a1ae17487da6e118b8d, 2017-12-13 23:31:04, 0x14023652f6276bf21da3d1df800bf2478894d189, 0xee519c903a8dae2d844e79f9637c169f88961146, 0.2, 0.000483
4728085, 0x4de38fc96e2b85e232429fd66cac83489ecdd5be39866172ff439ca7cebc0bcf, 2017-12-14 06:51:19, 1616189456136273, 0x607cf959ae2d85bf4a84529795b86c6d3386e850454aabfc470677eaed947bb5, 2017-12-13 23:34:35, 0x7ec915b8d3ffee3deaae5aa90def8ad826d2e110, CryptoKitties: Core, 0, 0.00135787
4728096, 0x6569b41ae03daf0fe5c7dacea8b3f86b57cb944004521e25f990002d356000f8, 2017-12-14 06:51:19, 1617766609395238, 0xc0e4716d0df129985b2660f5f76311d0f7b6c01e37b16d435b352a11d615263f, 2017-12-13 23:37:05, 0x6cace0528324a8afc2b157ceba3cdd2a27c4e21f, Bittrex: Controller, 0, 0.007836
4728113, 0x9742d74e6f48ca173ab25483f8b029b5e39ed9a8b5bde6ac6a44b9211e9c9114, 2017-12-14 06:51:19, 1618553061635094, 0xf174ffa5c22242f4f9625855fe5be349b0027a0117a0075aa0a870b36a370968, 2017-12-13 23:41:18, 0x365a2a67f96575b9592b948ecea3dc338b50cf2e, CryptoKitties: Core, 0, 0.0021051
4942957, 0xf71f5891718965757641307b6b411d191214b13e8983d4b7cc4a845db260bc10, 2018-01-20 22:24:16, 2425668848390103, 0x05974c4b38483464de14f30238d02c02143e3a73e3ce344e18c9bf48268e9982, 2018-01-20 22:24:00, 0x08e25e92f0b567289984c61f2998fb042d169b19, 0x01f295d0362b29b585063558976d4275e6c8d270, 0.25, 0.000483
4942960, 0xb6af103d1014943cec47e76ad13686609cf32afaed5a14d0bfb0f134e5036599, 2018-01-20 22:24:42, 2429223231284747, 0x49dce08c1b8e0c0634862833e85f9edb55082872b1a6c6faf4486f1f9fbc0c6f, 2018-01-20 22:24:29, Binance, 0x9ab70a85f3cf4d3ad955c756be59e7804fdecd56, 0.85, 0.0021
4942965, 0xb168898325a7bc3324882dc07859b2a717e3048cc214e066e88cdac4e3439cd1, 2018-01-20 22:25:45, 2428037087783951, 0x40e4791173dff503d4a835379d5b8bebb1a98849b7cc78971b2052211ad4f78d, 2018-01-20 22:25:42, 0x000133f715eadc32492fc5454a70e396b6bc4d33, Eidoo: Old EDO Token, 0, 0.00054267
4942966, 0xb008995ba55a27212db47c8ac6bb6e9bb8087ee22accee13b6937a5e974350f2, 2018-01-20 22:26:04, 2429222652899292, 0x79fd8495b116e206b401fb649577eed330fd79128b086b792efc42aa76fa8cb6, 2018-01-20 22:25:44, 0xc3f4681229549d8bad545d382a73aa724cd13f95, 0xda10d52b34134928a2a0d2645f06c554838ab69a, 0.000061548, 0.000042
4942967, 0x6a4d304e9df1d2e1da4be5028363c874fa77c40a38f41356f384ea900637f038, 2018-01-20 22:26:08, 2428036509156879, 0xbc8e34772db0767c857a35a1c5b27dcd94d5b63981d451a44326b6d49f1e3402, 2018-01-20 22:26:03, 0xbf7efd2c443faf7a5584c41913b5732ef95563b1, 0x13cb621b1dec264cd6a48dacae2faaee9c9a0bfb, 0.68027148, 0.001029
4942970, 0x0da77fdfed7514dde30a86695d4ee19414395131d1e0af61af9819db588fa7d8, 2018-01-20 22:26:57, 2429222074251831, 0x18c3ab79cc3fb1c51eb2fc3cc8986b8f5550129f47528dd573127a955ab4245f, 2018-01-20 22:26:44, 0xaa8c09a4ed08b97f5886e067ea203656639adfbc, 0x509cfbd419e63264d4d92a39b414f2a8531db0dc, 0.0000249167, 0.000021
4942971, 0xc45b897bac674dbf5f9684af57a55b4ffb0b995371b4e4d0b8383cb4a4edc9c5, 2018-01-20 22:27:08, 2430408217973846, 0x4ddaa76e17acabcd5a974af96f277d433ad35a2638b752e95416f7b0728060dd, 2018-01-20 22:26:56, 0x986fb069e2e67854eab10ce5c80f73650b721f2a, 0x3cd0af47b6164647afff94e6a26e2b432473f87f, 0.00447181, 0.000021
4942975, 0xec0309a567d01d08a4f1deb6b28c4d2b3e6ecdd8f5c0a21d7a993d0c795c499a, 2018-01-20 22:28:13, 2429220916563659, 0x56526afe5318aac75d507acda96b12c2243f830790cc503d74330ca3a47c8e55, 2018-01-20 22:28:05, Bittrex, 0xb87c2c3f91e57046f46d5def125f620f09c837f1, 0, 0.00449937
4728068, 0xb484f234dbd78d76c302da38aa960a7e3f7cc3ded0e46d138dad2fa1867f0224, 2017-12-14 06:51:19, 1624904566521844, 0x7475c848cdbfc8b000f699310819a09b477daa99d7561c6020ba1c4dfca7e878, 2017-12-13 23:28:18, 0xa620958b0f7d59ed764e77423960a3cb9321680b, 0xf0b80cfe011b14f23ed8327cb49e631dd3100fcc, 0.001869384, 0.00067221
4728080, 0xab02d640ebd612876ab42ece9d087c17e1c27cd46d885b929a12cda3678698c0, 2017-12-14 06:51:19, 1621729766744604, 0x71745e5a601f8f898fcd8019a03a599bcc607c59d9b16b399b7e3f501eb36429, 2017-12-13 23:32:18, 0xfa9f08c11216ef586aa10733c2cf739e1755e1a6, 0x5b47000ec93171ce0c541d8de88eb81fde2eb34b, 0.016577, 0.00042
